"","baker","baker_age","series","episode","technical","result","signature_bake","show_stopper","baker_occupation","hometown"
"68","urvashi",40,2,3,9,"out","salt and peppercorn loaf","chilli and halloumi rollslemon and coriander mini loaves","head of marketing","enfield, london"
"69","yasmin",43,2,3,2,"star baker","egyptian dukkah loaf with mixed spices","pesto bread
sweet coconut rolls","childminder","west kirby, the wirral"
"70","janet",63,2,4,4,"in","christmas marzipan biscuits","raspberry macarons
blackcurrant macarons
almond macarons","teacher of modern languages","formby, liverpool"
"71","jo",41,2,4,8,"in","lavender biscuits","blueberry macaronscoconut macaronsstrawberry macarons","housewife","ongar, essex"
"72","mary-anne",45,2,4,2,"in","melting moments","blackcurrant and mint macaronsgooseberry and elderflower macaronshazelnut macarons","housewife","kidderminster, worcestershire"
"73","robert",25,2,4,7,"in","chocolate and ginger oat biscuits","strawberry and lime macaronslemon macaronschocolate and cardamom macarons","photographer","london"
"74","yasmin",43,2,4,6,"in","chocolate chip and pistachio biscotti","chocolate and lime macaronscoffee and walnut macaronspineapple and coconut macarons","childminder","west kirby, the wirral"
"75","ben",31,2,4,5,"out","stem ginger nuts","chocolate and almond macaronspine nut macaronspistachio macarons","graphic designer","northampton"
"76","holly",31,2,4,3,"star baker","strawberry and custard melts","'chocolate bars of my youth'
(caramel macarons, mint chocolate macarons and chocolate orange macarons)","advertising executive","leicester"
"77","jason",19,2,4,1,"star baker","lebkuchen","mocktail macarons
(mojito, cranberry cooler, and pina colada)","civil engineering student","croydon"
"78","holly",31,2,5,4,"in","stilton, potato and caramelised onion pie","lime meringue pie","advertising executive","leicester"
"79","jo",41,2,5,6,"in","salmon and asparagus pie","apple and raspberry meringue pie","housewife","ongar, essex"
"80","mary-anne",45,2,5,2,"in","chicken and bacon pie","midnight meringue","housewife","kidderminster, worcestershire"
"81","yasmin",43,2,5,5,"in","family fish pie","peach and raspberry meringue pie","childminder","west kirby, the wirral"
"82","jason",19,2,5,7,"out","brown down chicken pie","plum meringue pie","civil engineering student","croydon"
"83","robert",25,2,5,3,"out","chicken and mushroom pie","rhubarb and custard meringue pie","photographer","london"
"84","janet",63,2,5,1,"star baker","chicken and chestnut pie","rhubarb meringue pie","teacher of modern languages","formby, liverpool"
"85","holly",31,2,6,3,"in","father christmas' baked cheesecake","hansel and gretel's croquembouche","advertising executive","leicester"
"86","janet",63,2,6,5,"in","rhubarb and ginger baked cheesecake","orange and nougatine croquembouche","teacher of modern languages","formby, liverpool"
"87","mary-anne",45,2,6,4,"in","tutti fruitti curd baked cheesecake","orange and praline croquembouche with cardamom caramel","housewife","kidderminster, worcestershire"
"88","yasmin",43,2,6,2,"out","baked amaretto cheesecake","rose croquembouche","childminder","west kirby, the wirral"
"89","jo",41,2,6,1,"star baker","rum and raisin baked cheesecake","limoncello and white chocolate croquembouche","housewife","ongar, essex"
"90","holly",31,2,7,1,"in","white chocolate, hazelnut and raspberry genoise mousse cake","apricot, macadamia and white chocolate pinwheelsalmond croissantsapple, raisin and cinnamon plaits","advertising executive","leicester"
"91","jo",41,2,7,3,"in","raspberry & strawberry mousse cake","pain aux raisinchocolate twistsbanana and raisin pastries","housewife","ongar, essex"
"92","mary-anne",45,2,7,2,"in","chocolate and orange mousse cake","raspberry rose danishespraline spiralsalsatian plaited danishes","housewife","kidderminster, worcestershire"
"93","janet",63,2,7,4,"out","chocolate amaretto mousse cake","pain aux raisinplain croissantpain au chocolat","teacher of modern languages","formby, liverpool"
"94","holly",31,2,8,2,"runner-up","banoffee inspired mille feuille","strawberry and cream meringue nestgooseberry and elderflower 'bakewell' tartsneapolitan ice-cream sandwich","advertising executive","leicester"
"95","mary-anne",45,2,8,3,"runner-up","lemon and ginger mille feuille","fruit tarts with elderflower custardstrawberry and rhubarb cheesecakesblack fruit meringue with everlasting syllabub","housewife","kidderminster, worcestershire"
"96","jo",41,2,8,1,"winner","raspberry and blueberry mille feuille","mini victoria sandwichesraspberry, white chocolate and pistachio mini meringuesmini banoffee pie with banana mousse","housewife","ongar, essex"
"97","brendan",63,3,1,10,"in","plum, sour cherry & walnut",NA,"recruitment consultant","sutton coldfield"
"98","cathryn",27,3,1,5,"in","apple, hazelnut and calvados","hidden cupcake cake","shop assistant","pease pottage, west sussex"
"99","danny",45,3,1,7,"in","plum, ginger & orange",NA,"intensive care consultant","sheffield"
"100","james",21,3,1,2,"in","parsnip, pear, and pecan","""simmer dim"" sunset cake","medical student","hillswick, shetland islands"
"101","john",22,3,1,11,"in","toffee apple, orange & cranberry","hidden pink hearts cake","law student","wigan"
"102","manisha",27,3,1,6,"in","vanilla, peach and raspberry","white chocolate cake with a red velvet and white chocolate mousse heart","nursery nurse","leicester"
"103","peter",43,3,1,3,"in","pear, muscat & chocolate","jubilee cake","sales manager","windsor, berkshire"
"104","ryan",38,3,1,8,"in","kumquat and orange polenta","hidden flowerbed mousse cake","photographer","bristol"
"105","sarah-jane",28,3,1,1,"in","pear, chocolate and hazelnut","hidden crown cake","vicar's wife","bewbush, west sussex"
"106","stuart",26,3,1,9,"in","tomato and ginger","lemon and pistachio union flag cake","pe teacher","lichfield, staffordshire"
"107","natasha",36,3,1,12,"out","pineapple & passion fruit","mother's day layered rose cake","midwife","tamworth, staffordshire"
"108","victoria",50,3,1,4,"star baker","pear and pecan","blackbird pie cake","ceo of the charity plantlife","somerset"
"109","brendan",63,3,2,4,"in","middle eastern taboon breadindian rotis","chocolate and vanilla bagels
cumin and gruyere bagels","recruitment consultant","sutton coldfield"
"110","cathryn",27,3,2,8,"in","spiced mango naanlime, coriander and chilli tortillas","cranberry and orange bagels
chipotle, chili, and smoked cheddar bagels","shop assistant","pease pottage, west sussex"
"111","danny",45,3,2,3,"in","lime coriander and coconut tortillaszaatar naan with dukkah",NA,"intensive care consultant","sheffield"
"112","james",21,3,2,2,"in","tomato, garlic, and parmesan flatbreadstattie scones","orange, mint and chocolate bagels
'millers' sourdough bagels","medical student","hillswick, shetland islands"
